"USD","Brent","RU","US","USD_real","Brent_real","date","year","id","dlog_Brent","dlog_USD"
0.015208,49.98,0.935683480217514,0.981915381848402,0.0162533595190381,50.900516402865,2015-09-16,"2015",582,0.0379250343003283,0.0181811125726181
0.015215,49.35,0.935683480217514,0.981915381848402,0.0162608406813627,50.2589132549297,2015-09-17,"2015",583,-0.0126851595273156,0.000460178162805747
0.014999,47.78,0.935683480217514,0.981915381848402,0.0160299933867735,48.6599974735672,2015-09-18,"2015",584,-0.0323306239818271,-0.0142982511357115
0.015005,47.78,0.935683480217514,0.981915381848402,0.0160364058116232,48.6599974735672,2015-09-19,"2015",585,0,0.000399946679107366
0.014989,47.57,0.935683480217514,0.981915381848402,0.016019306012024,48.4461297575888,2015-09-20,"2015",586,-0.00440483145347326,-0.00106688014387135
0.015098,48.73,0.935683480217514,0.981915381848402,0.0161357983967936,49.6274942839458,2015-09-21,"2015",587,0.0240925464112243,0.00724568596897424
0.015097,49.2,0.935683480217514,0.981915381848402,0.0161347296593186,50.1061506006594,2015-09-22,"2015",588,0.00959876664284787,-6.62361318335414e-05
0.015059,47.8,0.935683480217514,0.981915381848402,0.0160941176352705,48.6803658274699,2015-09-23,"2015",589,-0.0288679840008523,-0.00252022948091657
0.015088,48.33,0.935683480217514,0.981915381848402,0.0161251110220441,49.2201272058916,2015-09-24,"2015",590,0.0110268463595826,0.00192390678641896
0.015229,48.34,0.935683480217514,0.981915381848402,0.016275803006012,49.230311382843,2015-09-25,"2015",591,0.000206889418344236,0.00930177897845219
0.01522,48.34,0.935683480217514,0.981915381848402,0.0162661843687375,49.230311382843,2015-09-26,"2015",592,0,-0.000591152436014042
0.01522,48.39,0.935683480217514,0.981915381848402,0.0162661843687375,49.2812322675998,2015-09-27,"2015",593,0.00103380552989041,0
0.015066,47.4,0.935683480217514,0.981915381848402,0.0161015987975952,48.2729987494158,2015-09-28,"2015",594,-0.0206709521041963,-0.0101698030300366
0.015136,47.94,0.935683480217514,0.981915381848402,0.0161764104208417,48.8229443047889,2015-09-29,"2015",595,0.0113280003052072,0.00463546290601879
0.015267,48.44,0.935683480217514,0.981915381848402,0.0163164150300601,49.3321531523565,2015-09-30,"2015",596,0.0103756896786531,0.00861762396528309
0.01516,48.06,0.942621413838365,0.983817284991917,0.0160828088323055,48.8505342741512,2015-10-01,"2015",597,-0.00787568837656849,-0.0070332560605797
0.015056,48.22,0.942621413838365,0.983817284991917,0.0159724782176248,49.0131660986178,2015-10-02,"2015",598,0.00332364244470229,-0.00688379737120215
0.01511,48.22,0.942621413838365,0.983817284991917,0.0160297652675552,49.0131660986178,2015-10-03,"2015",599,0,0.00358019344162486
0.015096,47.88,0.942621413838365,0.983817284991917,0.0160149130694251,48.6675734716263,2015-10-04,"2015",600,-0.00707599206325282,-0.000926968218399438
0.015457,49.22,0.942621413838365,0.983817284991917,0.0163978876069226,50.0296150015339,2015-10-05,"2015",601,0.0276021642731377,0.0236321671039326
0.015805,52.15,0.942621413838365,0.983817284991917,0.016767070817585,53.0078102870783,2015-10-06,"2015",602,0.0578241364838714,0.0222643704973997
0.01596,51.75,0.942621413838365,0.983817284991917,0.0169315058683111,52.6012307259118,2015-10-07,"2015",603,-0.00769974930130291,0.00975924635408187
0.016237,53.3,0.942621413838365,0.983817284991917,0.0172253672170281,54.1767265254319,2015-10-08,"2015",604,0.0295118990263203,0.0172069965833144
0.016136,52.43,0.942621413838365,0.983817284991917,0.0171182192162323,53.2924159798948,2015-10-09,"2015",605,-0.0164573845873575,-0.00623978795306623
0.016168,52.43,0.942621413838365,0.983817284991917,0.0171521670976726,53.2924159798948,2015-10-10,"2015",606,0,0.0019811794494089
0.015756,52.81,0.942621413838365,0.983817284991917,0.0167150881241297,53.678666563003,2015-10-11,"2015",607,0.00722162013440064,-0.0258127349926607
0.01602,50.63,0.942621413838365,0.983817284991917,0.0169951581460115,51.4628079546457,2015-10-12,"2015",608,-0.0421562807370242,0.0166166965315542
0.01581,49.66,0.942621413838365,0.983817284991917,0.0167723751740601,50.476852518817,2015-10-13,"2015",609,-0.0193445059017971,-0.0131952904188326
0.015905,49.58,0.942621413838365,0.983817284991917,0.0168731579470857,50.3955366065838,2015-10-14,"2015",610,-0.00161225347297611,0.00599087397972653
0.016242,50.33,0.942621413838365,0.983817284991917,0.0172306715735031,51.1578732837709,2015-10-15,"2015",611,0.0150137941812241,0.0209669546591114
0.016231,50.5,0.942621413838365,0.983817284991917,0.017219001989258,51.3306695972666,2015-10-16,"2015",612,0.00337201549304567,-0.00067748593728556
0.016296,50.5,0.942621413838365,0.983817284991917,0.0172879586234335,51.3306695972666,2015-10-17,"2015",613,0,0.0039966850015718
0.016172,50.62,0.942621413838365,0.983817284991917,0.0171564105828526,51.4526434656166,2015-10-18,"2015",614,0.00237341883566344,-0.00763832714598056
0.015988,48.91,0.942621413838365,0.983817284991917,0.0169612102645713,49.7145158416299,2015-10-19,"2015",615,-0.034364880565712,-0.0114429109294472
0.016043,48.56,0.942621413838365,0.983817284991917,0.0170195581857967,49.3587587256093,2015-10-20,"2015",616,-0.00718172780002302,0.00343417651986133
0.015818,47.89,0.942621413838365,0.983817284991917,0.0167808621444201,48.6777379606554,2015-10-21,"2015",617,-0.0138934323967246,-0.014124085271713
0.015798,48.22,0.942621413838365,0.983817284991917,0.01675964471852,49.0131660986178,2015-10-22,"2015",618,0.00686715839850693,-0.00126518235499784
0.015983,48.08,0.942621413838365,0.983817284991917,0.0169559059080963,48.8708632522095,2015-10-23,"2015",619,-0.00290758252607315,0.0116423076442889
0.015977,48.08,0.942621413838365,0.983817284991917,0.0169495406803262,48.8708632522095,2015-10-24,"2015",620,0,-0.000375469341081569
0.015977,47.97,0.942621413838365,0.983817284991917,0.0169495406803262,48.7590538728887,2015-10-25,"2015",621,-0.0022904747129795,0
0.015819,47.46,0.942621413838365,0.983817284991917,0.0167819230157151,48.2406649324015,2015-10-26,"2015",622,-0.010688564506355,-0.0099384388289927
0.015328,47.03,0.942621413838365,0.983817284991917,0.0162610352098667,47.8035919041475,2015-10-27,"2015",623,-0.00910155505066079,-0.0315305279879379
0.015583,49.12,0.942621413838365,0.983817284991917,0.0165315573900935,49.9279701112423,2015-10-28,"2015",624,0.0434805878819304,0.0164993552349726
0.015531,48.61,0.942621413838365,0.983817284991917,0.0164763920827531,49.4095811707551,2015-10-29,"2015",625,-0.010437012781523,-0.00334254987560278
