"USD","Brent","RU","US","USD_real","Brent_real","date","year","id","dlog_Brent","dlog_USD"
0.017633,53.08,0.91609214730116,0.942964222239394,0.0192480636930984,56.2905768300978,2017-04-19,"2017",1157,-0.0322548814106329,-0.00514750691145682
0.017759,52.99,0.91609214730116,0.942964222239394,0.0193856044419971,56.1951331240935,2017-04-20,"2017",1158,-0.00169699295933601,0.00712028324667191
0.0176,52.05,0.91609214730116,0.942964222239394,0.0192120411160059,55.1982766391595,2017-04-21,"2017",1159,-0.0178984214436926,-0.00899352762835193
0.01766,52.05,0.91609214730116,0.942964222239394,0.0192775367107195,55.1982766391595,2017-04-22,"2017",1160,0,0.00340329313170695
0.017773,52.2,0.91609214730116,0.942964222239394,0.0194008867474303,55.3573494825001,2017-04-23,"2017",1161,0.00287769982761521,0.00637825660204161
0.017863,51.61,0.91609214730116,0.942964222239394,0.0194991301395007,54.7316629653607,2017-04-24,"2017",1162,-0.0113670427279575,0.00505108268889209
0.017763,52.42,0.91609214730116,0.942964222239394,0.019389970814978,55.5906563193995,2017-04-25,"2017",1163,0.0155727457346244,-0.00561389224899855
0.017446,52.07,0.91609214730116,0.942964222239394,0.0190439357562408,55.2194863516049,2017-04-26,"2017",1164,-0.00669923072045231,-0.0180072462067216
0.017489,52.07,0.91609214730116,0.942964222239394,0.0190908742657856,55.2194863516049,2017-04-27,"2017",1165,0,0.00246171585602717
0.017509,51.89,0.91609214730116,0.942964222239394,0.0191127061306902,55.0285989395963,2017-04-28,"2017",1166,-0.00346287379515964,0.00114292257712556
0.017516,51.89,0.91609214730116,0.942964222239394,0.0191203472834068,55.0285989395963,2017-04-29,"2017",1167,0,0.000399714494972336
0.017512,51.85,0.91609214730116,0.942964222239394,0.0191159809104258,54.9861795147055,2017-04-30,"2017",1168,-0.000771158704111929,-0.000228388718590544
0.017494,51.46,0.91945518748949,0.942454215284754,0.0190264846378932,54.6021219550192,2017-05-01,"2017",1169,-0.00755012782193809,-0.00102839522289866
0.017481,51.13,0.91945518748949,0.942454215284754,0.0190123458302853,54.2519723194739,2017-05-02,"2017",1170,-0.00643339776169016,-0.000743388168616299
